method,seed,condition,level,steps,n_sensors,n_locally_available,n_tx,transmit_rate,transmission_reduction_pct,mae_skipped,n_skipped_eval,n_true_events,n_server_events,event_recall,event_precision,event_f1,tp,fn,fp,n_high_co2_events,recall_high_co2,n_rapid_rise_events,recall_rapid_rise,mean_aoi,mean_aoi_state,mean_aoi_raw,p90_aoi,p95_aoi,max_aoi,shield_overrides,mean_reward_per_step,packet_delivery_ratio,tx_requested,tx_delivered,graph,reconstructor,adjacency_is_identity
cmappo_kl,3407,sensor_outage,0.1,6431,40,185702,42384,0.228236637192922,77.1763362807078,8.658521609288435,143318,826,831,0.99636803874092,0.9903730445246692,0.9933614966807484,823,3,8,751,0.9986684420772304,78,0.9743589743589745,2.4885204478308194,2.4885204478308194,2.4885204478308194,8.0,8.0,8.0,0,-0.3619341125193336,1.0,42384,42384,hybrid,locf,False
campus_senserl_bc,9999,sensor_outage,0.1,6431,40,185702,37284,0.2007732819248042,79.92267180751958,9.306910213046937,148418,826,840,0.9927360774818402,0.9761904761904762,0.9843937575030012,820,6,20,751,0.996005326231691,78,0.9615384615384616,2.743154252837817,2.743154252837817,2.743154252837817,8.0,8.0,8.0,0,-0.3541057986487241,1.0,37284,37284,hybrid,locf,False
cmappo_kl,9999,sensor_outage,0.1,6431,40,185702,42212,0.2273104220740756,77.26895779259243,8.742504704160568,143490,826,831,0.9939467312348668,0.9879663056558364,0.9909474954737476,821,5,10,751,0.9973368841544608,78,0.9615384615384616,2.479944798631628,2.479944798631628,2.479944798631628,8.0,8.0,8.0,0,-0.3608918843951947,1.0,42212,42212,hybrid,locf,False
semantic_expert,42,sensor_outage,0.2,6431,40,165216,42817,0.2591577086964943,74.08422913035058,7.16188040751967,122399,767,776,1.0,0.98840206185567,0.9941672067401168,767,0,9,747,1.0,20,1.0,3.004167314570051,3.004167314570051,3.004167314570051,8.0,8.0,8.0,0,-0.3824876321681533,1.0,42817,42817,hybrid,locf,False
campus_senserl_bc,42,sensor_outage,0.2,6431,40,165216,33191,0.2008945864807282,79.91054135192718,9.007627343306192,132025,767,781,0.9947848761408083,0.9769526248399488,0.9857881136950905,763,4,18,747,0.9959839357429718,20,0.95,3.3151181775773595,3.3151181775773595,3.3151181775773595,8.0,8.0,8.0,0,-0.3527623003997841,1.0,33191,33191,hybrid,locf,False
cmappo_kl,42,sensor_outage,0.2,6431,40,165216,35054,0.2121707340693395,78.78292659306605,8.740331279482492,130162,767,777,0.9960886571056062,0.9832689832689832,0.9896373056994818,764,3,13,747,0.997322623828648,20,0.95,3.2253965168714043,3.2253965168714043,3.2253965168714043,8.0,8.0,8.0,0,-0.3559535038599908,1.0,35054,35054,hybrid,locf,False
campus_senserl_bc,123,sensor_outage,0.2,6431,40,165216,32990,0.1996779972883982,80.03220027116018,8.999198342232239,132226,767,779,0.9947848761408083,0.9794608472400512,0.9870633893919792,763,4,16,747,0.9959839357429718,20,0.95,3.3292295132949774,3.3292295132949774,3.3292295132949774,8.0,8.0,8.0,0,-0.3527386796467777,1.0,32990,32990,hybrid,locf,False
cmappo_kl,123,sensor_outage,0.2,6431,40,165216,37667,0.22798639356963,77.20136064303699,8.376929650565664,127549,767,771,0.998696219035202,0.993514915693904,0.9960988296488948,766,1,5,747,0.998661311914324,20,1.0,3.100890219250505,3.100890219250505,3.100890219250505,8.0,8.0,8.0,0,-0.3614639934962058,1.0,37667,37667,hybrid,locf,False
campus_senserl_bc,2024,sensor_outage,0.2,6431,40,165216,32607,0.1973598198721673,80.26401801278327,9.067830991863298,132609,767,779,0.9947848761408083,0.9794608472400512,0.9870633893919792,763,4,16,747,0.9959839357429718,20,0.95,3.3556289846058154,3.3556289846058154,3.3556289846058154,8.0,8.0,8.0,0,-0.3523238940279702,1.0,32607,32607,hybrid,locf,False
cmappo_kl,2024,sensor_outage,0.2,6431,40,165216,35307,0.2137020627542126,78.62979372457873,8.655658961272891,129909,767,774,0.997392438070404,0.9883720930232558,0.9928617780661908,765,2,9,747,0.997322623828648,20,1.0,3.232938112268698,3.232938112268698,3.232938112268698,8.0,8.0,8.0,0,-0.3578678961688055,1.0,35307,35307,hybrid,locf,False
