method,configuration,scenario,split,packet_loss,loss_mask_id,prob_threshold,seconds,stage
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.4,2,,13.843966999993427,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.4,2,,13.478192100010347,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.4,2,,13.578349300005357,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.4,2,,13.113816299999598,
cmappo_kl,tau=0.5,packet_loss,val,0.4,2,,26.741033600002993,
cmappo_kl,tau=0.5,packet_loss,val,0.4,2,,26.092132699996,
cmappo_kl,tau=0.5,packet_loss,val,0.4,2,,25.720565899988287,
cmappo_kl,tau=0.5,packet_loss,val,0.4,2,,26.35867390000203,
cmappo_kl,tau=0.5,packet_loss,val,0.4,2,,28.887487200001488,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.4,3,,12.851388999988558,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.4,3,,12.964237100008177,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.4,3,,13.0043347000028,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.4,3,,13.33890450000763,
cmappo_kl,tau=0.5,packet_loss,val,0.4,3,,25.35872129999916,
cmappo_kl,tau=0.5,packet_loss,val,0.4,3,,26.481795299987425,
cmappo_kl,tau=0.5,packet_loss,val,0.4,3,,25.618820100004086,
cmappo_kl,tau=0.5,packet_loss,val,0.4,3,,26.259593299997505,
cmappo_kl,tau=0.5,packet_loss,val,0.4,3,,26.540896499995142,
fixed_60,interval_steps=4 (60 min),packet_loss,val,0.4,4,,14.34471860001213,
fixed_75,interval_steps=5 (75 min),packet_loss,val,0.4,4,,13.686920899999677,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",packet_loss,val,0.4,4,,13.554981399996905,
semantic_expert,frozen_expert_thresholds,packet_loss,val,0.4,4,,13.34856349999609,
cmappo_kl,tau=0.5,packet_loss,val,0.4,4,,25.79843310000433,
cmappo_kl,tau=0.5,packet_loss,val,0.4,4,,28.909400799995637,
cmappo_kl,tau=0.5,packet_loss,val,0.4,4,,28.0691644000035,
cmappo_kl,tau=0.5,packet_loss,val,0.4,4,,27.429894100001547,
cmappo_kl,tau=0.5,packet_loss,val,0.4,4,,26.308952699997462,
,,,,,,,2702.6172518999956,packet_loss
cmappo_kl,tau=0.35,matched_budget_tau_sweep,val,0.0,,0.35,26.44951299999957,
cmappo_kl,tau=0.35,matched_budget_tau_sweep,val,0.0,,0.35,26.902429299996584,
cmappo_kl,tau=0.35,matched_budget_tau_sweep,val,0.0,,0.35,26.875784400006523,
cmappo_kl,tau=0.35,matched_budget_tau_sweep,val,0.0,,0.35,27.861462000000756,
cmappo_kl,tau=0.35,matched_budget_tau_sweep,val,0.0,,0.35,27.094981600006577,
cmappo_kl,tau=0.40,matched_budget_tau_sweep,val,0.0,,0.4,25.623362800004543,
cmappo_kl,tau=0.40,matched_budget_tau_sweep,val,0.0,,0.4,26.269749400002183,
cmappo_kl,tau=0.40,matched_budget_tau_sweep,val,0.0,,0.4,23.51810440000554,
cmappo_kl,tau=0.40,matched_budget_tau_sweep,val,0.0,,0.4,23.921485600003507,
cmappo_kl,tau=0.40,matched_budget_tau_sweep,val,0.0,,0.4,23.070709500010707,
cmappo_kl,tau=0.45,matched_budget_tau_sweep,val,0.0,,0.45,22.493142400009674,
cmappo_kl,tau=0.45,matched_budget_tau_sweep,val,0.0,,0.45,22.356768699988606,
cmappo_kl,tau=0.45,matched_budget_tau_sweep,val,0.0,,0.45,22.270489100003033,
cmappo_kl,tau=0.45,matched_budget_tau_sweep,val,0.0,,0.45,22.293367999998736,
cmappo_kl,tau=0.45,matched_budget_tau_sweep,val,0.0,,0.45,22.63510949999909,
