scenario,split,cohort,method,configuration,packet_loss,target_reduction,n_runs,aggregation,runs,source,result_source,n_available_mean,n_available_std,n_tx_attempts_mean,n_tx_attempts_std,n_delivered_mean,n_delivered_std,transmission_rate_mean,transmission_rate_std,transmission_reduction_mean,transmission_reduction_std,mae_mean,mae_std,event_tp_mean,event_tp_std,event_fp_mean,event_fp_std,event_fn_mean,event_fn_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,aoi_raw_mean,aoi_raw_std,n_true_events_mean,n_true_events_std,mae_pass_count,mae_pass_count_n,mae_ok_kn,mae_ok,event_pass_count,event_pass_count_n,event_ok_kn,event_ok,aoi_pass_count,aoi_pass_count_n,aoi_ok_kn,aoi_ok,all_constraints_pass_count,all_constraints_pass_count_n,all_constraints_satisfied_kn,all_constraints_satisfied,constraint_display,n_policies,n_loss_masks,n_eval_rows
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=6",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,30452.0,0.0,30452.0,0.0,0.1472427048328216,0.0,0.8527572951671785,0.0,11.60276248419453,0.0,791.0,0.0,84.0,0.0,35.0,0.0,0.904,0.0,0.9576271186440678,0.0,0.9300411522633746,0.0,2.9730446275851343,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=3",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,52049.0,0.0,52049.0,0.0,0.2516693663418998,0.0,0.7483306336581002,0.0,10.393316361474742,0.0,803.0,0.0,77.0,0.0,23.0,0.0,0.9125,0.0,0.9721549636803876,0.0,0.9413833528722158,0.0,1.4975509252060333,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=4",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,41731.0,0.0,41731.0,0.0,0.2017793680342335,0.0,0.7982206319657665,0.0,10.977962734123237,0.0,797.0,0.0,99.0,0.0,29.0,0.0,0.8895089285714286,0.0,0.9648910411622276,0.0,0.9256678281068524,0.0,1.996003731923496,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=5",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,34859.0,0.0,34859.0,0.0,0.1685516040906123,0.0,0.8314483959093877,0.0,11.520609923468797,0.0,792.0,0.0,112.0,0.0,34.0,0.0,0.8761061946902655,0.0,0.9588377723970944,0.0,0.915606936416185,0.0,2.489332918675167,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=6",0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,29948.0,0.0,29948.0,0.0,0.1448057442641974,0.0,0.8551942557358025,0.0,12.06444955814256,0.0,769.0,0.0,125.0,0.0,57.0,0.0,0.860178970917226,0.0,0.9309927360774818,0.0,0.8941860465116279,0.0,2.988466023946509,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,fixed_15,interval_steps=1 (15 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,206815.0,0.0,206815.0,0.0,1.0,0.0,0.0,0.0,,0.0,826.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0010884776862074,0.0,826.0,0.0,0,1,N/A,N/A,1,1,1/1,True,1,1,1/1,True,0,1,N/A,N/A,N/A (full-transmission reference),,,
validation_cohort,val,final,fixed_30,interval_steps=2 (30 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,103504.0,0.0,103504.0,0.0,0.500466600585064,0.0,0.499533399414936,0.0,9.659978124304285,0.0,769.0,0.0,83.0,0.0,57.0,0.0,0.9025821596244132,0.0,0.9309927360774818,0.0,0.9165673420738976,0.0,0.6013878090499145,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,fixed_45,interval_steps=3 (45 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,68883.0,0.0,68883.0,0.0,0.3330657834296351,0.0,0.6669342165703649,0.0,10.474124931125482,0.0,748.0,0.0,124.0,0.0,78.0,0.0,0.8577981651376146,0.0,0.9055690072639224,0.0,0.8810365135453475,0.0,1.201675478152698,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,fixed_60,interval_steps=4 (60 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,51149.0,0.0,51149.0,0.0,0.2473176510407852,0.0,0.7526823489592147,0.0,11.335269101794868,0.0,733.0,0.0,123.0,0.0,93.0,0.0,0.8563084112149533,0.0,0.887409200968523,0.0,0.8715814506539834,0.0,1.88528611413466,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,fixed_75,interval_steps=5 (75 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,41325.0,0.0,41325.0,0.0,0.1998162609095085,0.0,0.8001837390904916,0.0,11.755109070034443,0.0,731.0,0.0,136.0,0.0,95.0,0.0,0.8431372549019608,0.0,0.8849878934624698,0.0,0.8635558180744242,0.0,2.3895933758357955,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
validation_cohort,val,final,fixed_90,interval_steps=6 (90 min),0.0,,1,single_run,deterministic,revision_eval,new_evaluation,206815.0,0.0,34419.0,0.0,34419.0,0.0,0.1664240988322897,0.0,0.8335759011677103,0.0,12.517337989280492,0.0,711.0,0.0,144.0,0.0,115.0,0.0,0.8315789473684211,0.0,0.860774818401937,0.0,0.8459250446162999,0.0,3.0066319390452496,0.0,826.0,0.0,0,1,0/1,False,0,1,0/1,False,1,1,1/1,True,0,1,0/1,False,0/1,,,
