deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,in_final,exclusion_reason
A81758FFFE031066,0.7154332504145937,0.7439365671641791,0.7744092039800995,13804,62.19262770769384,511.2004491451753,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031067,0.7990257048092869,0.7902674129353234,0.8779539800995025,15418,44.5104489653029,417.6526786872487,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031068,0.7533167495854063,0.7989738805970149,0.8555659203980099,4408,114.41214620497287,246.47595281306715,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031069,0.464863184079602,0.32960199004975127,0.38448383084577115,8969,73.0074905992586,468.394358345412,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03106A,0.7301513266998342,0.7664800995024875,0.8397077114427861,14089,50.73746173896688,425.44261480587693,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03106B,0.7917703150912107,0.8552549751243781,0.8737562189054726,15278,88.33768467480115,394.6785574028014,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03106C,0.53912728026534,0.4923818407960199,0.43641169154228854,10402,66.44633045820696,516.6105556623726,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03106F,0.7325870646766169,0.7350746268656716,0.7818718905472637,14135,55.02833967873323,446.48015564202336,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031070,0.599450663349917,0.6902985074626866,0.710976368159204,10724,81.65215670290426,375.0022379709064,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031072,0.7744610281923715,0.7999067164179104,0.8708022388059702,14944,53.76472379544131,461.20235546038543,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031073,0.7612976782752903,0.8420398009950248,0.8714241293532339,14689,144.18849459782098,459.8001225406767,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031074,0.7052757048092869,0.8142101990049752,0.7966417910447762,13608,36.2920808265321,398.575911228689,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031075,0.6501347429519071,0.7322761194029851,0.6173818407960199,12545,40.117865403677044,494.8071741729773,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031076,0.8075766998341625,0.8227611940298507,0.8694029850746269,15583,32.17063787732295,378.99910158506066,True,False,beyond_final_n_cap_or_node_order
